Jeff Nippard's Ultimate PPL Program - 6x/Week Spreadsheet;;;;;;;;;;;
Pull #2;1-Arm Half-Kneeling Lat Pulldown;1;3;12-15;;8-9;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Pull-Up (1 AMRAP set);2;1;AMRAP;;10;~2-3 min;"Lat Pulldown
(8-15 rep AMRAP)";Machine Pulldown;1.5x shoulder width grip, pull your chest to the bar;
;Kroc Row;2;3;10-12;;8-9;~2-3 min;Single-Arm DB Row;Meadows Row;Kroc rows are basically just a dumbbell row with mild cheating and a slightly more upright posture. Don't be afraid to go heavy and use straps if your grip is limiting;
;Cable Shrug-In;1;3;10-12;;9-10;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;3;10-12;;9-10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;N1-Style Cross-Body Cable Bicep Curl;1;3;10-12;;9-10;~1-2 min;DB Incline Curl;DB Curl;Curl across your body with your arm out to the side at ~60°;
Legs #2;Deadlift;3-4;1;3;;8-9;~3-5 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Stiff-Leg Deadlift;0;2;8;;8-9;~3-4 min;Barbell RDL;DB RDL;Think about doing a high-hip conventional deadlift with a slight bend in the knees;
;Leg Press;2-3;4;10-12;;8-9;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Glute Ham Raise;1;3;8-10;;9-10;~1-2 min;Nordic Ham Curl;Lying Leg Curl;Keep your hips straight, do Nordic ham curls if no GHR machine;
;Slow-Eccentric Leg Extension;1;3;8-10;;9-10;~1-2 min;DB Step-Up;Goblet Squat;Control the weight with a 3-4 second negative;
;Seated Calf Raise;1;4;15-20;;9-10;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Roman Chair Leg Raise;1;3;10-20;;9-10;~1-2 min;Hanging Leg Raise;Reverse Crunch;Don't swing your legs at the bottom, minimize momentum, tuck your knees towards your chest if lifting your legs straight out is too challenging;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
Week 4;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Bench Press;3-4;1;2-4;;8-9;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Larsen Press;0;2;10;;8-9;~3-4 min;"DB Bench Press 
(No Leg Drive)";"Machine Chest Press 
(No Leg Drive)";Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.;
;Standing Dumbbell Arnold Press;2;3;8-10;;8-9;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;A1. Press-Around;1;2;12-15;;9-10;0 min;DB Flye;Deficit Push Up;Brace with your non-working arm, squeeze your pecs by pressing the cable across your body;
;A2. Pec Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Cross-Body Cable Y-Raise (Side Delt);1;3;12-15;;9-10;~1-2 min;DB Lateral Raise;Machine Lateral Raise;"Think about swinging the cable out and up as if ""drawing a sword"" from your side";
;Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension;1;3;8 + 8;;9-10;~1-2 min;"Triceps Pressdown
(12-15 reps)";"DB Skull Crusher
(12-15 reps)";"Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")";
;N1-Style Cross-Body Triceps Extension;0;2;10-12;;10;~1-2 min;Single-Arm Tricep Pressdown;Single-Arm Cable Tricep Kickback;Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso;
Pull #1;Lat Pulldown (Feeder Sets);0;4;10;;See Notes;~2-3 min;Machine Pulldown;Pull-Up;Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.;
;Lat Pulldown (Failure Set);0;1;10+5;;10;~2-3 min;Machine Pulldown;Pull-Up;After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique;
;Omni-Grip Machine Chest-Supported Row;2;3;10-12;;8-9;~2-3 min;Incline Chest-Supported DB Row;Cable Seated Row;Use 3 different grips for the 3 working sets (ideally going from wider to closer);
;A1. Bottom-Half DB Lat Pullover;1;2;10-12;;9-10;0 min;Cable Lat Pullover;1-Arm Lat Pull-In;Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;A2. Lat Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Omni-Direction Face Pull;1;3;12-15;;9-10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low";
;EZ-Bar Curl;1;3;6-8;;9-10;~1-2 min;DB Curl;Cable Curl;Focus on contracting your biceps, minimize torso momentum;
;Bottom-Half Preacher Curl;0;2;10-12;;10;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Legs #1;Squat;3-4;1;3-5;;8-9;~3-4 min;Hack Squat;DB Bulgarian Split Squat;Sit back and down, keep your upper back tight to the bar;
;Pause Squat (Back off);0;2;5;;8-9;~3-4 min;Pause Hack Squat;Pause DB Bulgarian Split Squat; Drop the weight by ~25% from your top set. 2 second pause. Sit back and down, keep your upper back tight to the bar;
;Barbell RDL;2;3;8-10;;8-9;~2-3 min;DB RDL;45° Hyperextension;Maintain a neutral lower back, set your hips back, don't allow your spine to round;
;Walking Lunge;1;2;10;;8-9;~2-3 min;DB Step-Up;Goblet Squat;Take medium strides, minimize the amount you push off your rear leg;
;Seated Leg Curl;1;3;10-12;;9-10;~1-2 min;Lying Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to move the weight;
;Leg Press Toe Press;1;4;10-12;;9-10;~1-2 min;Seated Calf Raise;Standing Calf Raise;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Decline Plate-Weighted Crunch;1;3;10-12;;9-10;~1-2 min;Cable Crunch;Machine Crunch;Hold a plate or DB to your chest and crunch hard!;
Push #2;Close-Grip Barbell Incline Press;2-3;3;8, 5, 12;;8-9;~3-4 min;Close-Grip DB Incline Press;Close-Grip Machine Press;Use ~45° incline and a grip width just outside shoulder width;
;Machine Shoulder Press;2;3;10-12;;8-9;~2-3 min;Seated DB Shoulder Press;Standing DB Arnold Press;Don't stop in between reps, keep smooth and controlled tension on the delts;
;Floor Skull Crusher (Heavy);1;3;6-8;;8-9;~1-2 min;DB Floor Skull Crusher;Overhead Cable Triceps Extension;Arc the bar behind your head, allow the bar to come to a dead stop on the floor between reps;
;Bent-Over Cable Pec Flye;1;3;10-12;;9-10;~1-2 min;Pec Deck;DB Flye;Squeeze your pecs together at the top and feel a big stretch at the bottom;
;Eccentric-Accentuated Cable Lateral Raise, Constant-Tension Cable Lateral Raise;1;3;5, 15;;9-10;~1-2 min;DB Lateral Raise;Machine Lateral Raise;First 5 reps: 5-second lowering phase, last 15 reps constant tension (no pausing at the bottom or top);
;Plate Front Raise;1;2;15-20;;9-10;~1-2 min;DB Front Raise;Cable Front Raise;Turn one side up like a steering wheel as you lift the plate;
;Diamond Push Up;0;1;AMRAP;;10;0 min;Close-Grip Push Up;Kneeling Modified Push Up;Place your hands close together on the ground so that they form a diamond shape and do as many pushups as possible with a smooth tempo ;
Pull #2;1-Arm Half-Kneeling Lat Pulldown;1;3;12-15;;8-9;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Pull-Up (1 AMRAP set);2;1;AMRAP;;10;~2-3 min;"Lat Pulldown
(8-15 rep AMRAP)";Machine Pulldown;1.5x shoulder width grip, pull your chest to the bar;
;Kroc Row;2;3;10-12;;8-9;~2-3 min;Single-Arm DB Row;Meadows Row;Kroc rows are basically just a dumbbell row with mild cheating and a slightly more upright posture. Don't be afraid to go heavy and use straps if your grip is limiting;
;Cable Shrug-In;1;3;10-12;;9-10;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;3;10-12;;9-10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;N1-Style Cross-Body Cable Bicep Curl;1;3;10-12;;9-10;~1-2 min;DB Incline Curl;DB Curl;Curl across your body with your arm out to the side at ~60°;
Legs #2;Deadlift;3-4;1;2;;8-9;~3-5 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Stiff-Leg Deadlift;0;2;8;;8-9;~3-4 min;Barbell RDL;DB RDL;Think about doing a high-hip conventional deadlift with a slight bend in the knees;
;Leg Press;2-3;4;10-12;;8-9;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Glute Ham Raise;1;3;8-10;;9-10;~1-2 min;Nordic Ham Curl;Lying Leg Curl;Keep your hips straight, do Nordic ham curls if no GHR machine;
;Slow-Eccentric Leg Extension;1;3;8-10;;9-10;~1-2 min;DB Step-Up;Goblet Squat;Control the weight with a 3-4 second negative;
;Seated Calf Raise;1;4;15-20;;9-10;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Roman Chair Leg Raise;1;3;10-20;;9-10;~1-2 min;Hanging Leg Raise;Reverse Crunch;Don't swing your legs at the bottom, minimize momentum, tuck your knees towards your chest if lifting your legs straight out is too challenging;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
Week 5;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Bench Press;3-4;1;3-5;;8-9;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Larsen Press;0;2;10;;8-9;~3-4 min;"DB Bench Press 
(No Leg Drive)";"Machine Chest Press 
(No Leg Drive)";Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.;
;Standing Dumbbell Arnold Press;2;3;8-10;;8-9;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;A1. Press-Around;1;2;12-15;;9-10;0 min;DB Flye;Deficit Push Up;Brace with your non-working arm, squeeze your pecs by pressing the cable across your body;
;A2. Pec Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Cross-Body Cable Y-Raise (Side Delt);1;3;12-15;;9-10;~1-2 min;DB Lateral Raise;Machine Lateral Raise;"Think about swinging the cable out and up as if ""drawing a sword"" from your side";
;Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension;1;3;8 + 8;;9-10;~1-2 min;"Triceps Pressdown
(12-15 reps)";"DB Skull Crusher
(12-15 reps)";"Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")";
;N1-Style Cross-Body Triceps Extension;0;2;10-12;;10;~1-2 min;Single-Arm Tricep Pressdown;Single-Arm Cable Tricep Kickback;Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso;
Pull #1;Lat Pulldown (Feeder Sets);0;4;10;;See Notes;~2-3 min;Machine Pulldown;Pull-Up;Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.;
;Lat Pulldown (Failure Set);0;1;10+5;;10;~2-3 min;Machine Pulldown;Pull-Up;After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique;
;Omni-Grip Machine Chest-Supported Row;2;3;10-12;;8-9;~2-3 min;Incline Chest-Supported DB Row;Cable Seated Row;Use 3 different grips for the 3 working sets (ideally going from wider to closer);
;A1. Bottom-Half DB Lat Pullover;1;2;10-12;;9-10;0 min;Cable Lat Pullover;1-Arm Lat Pull-In;Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;A2. Lat Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Omni-Direction Face Pull;1;3;12-15;;9-10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low";
;EZ-Bar Curl;1;3;6-8;;9-10;~1-2 min;DB Curl;Cable Curl;Focus on contracting your biceps, minimize torso momentum;
;Bottom-Half Preacher Curl;0;2;10-12;;10;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Legs #1;Squat;3-4;1;2-4;;8-9;~3-4 min;Hack Squat;DB Bulgarian Split Squat;Sit back and down, keep your upper back tight to the bar;
;Pause Squat (Back off);0;2;5;;8-9;~3-4 min;Pause Hack Squat;Pause DB Bulgarian Split Squat; Drop the weight by ~25% from your top set. 2 second pause. Sit back and down, keep your upper back tight to the bar;
;Barbell RDL;2;3;8-10;;8-9;~2-3 min;DB RDL;45° Hyperextension;Maintain a neutral lower back, set your hips back, don't allow your spine to round;
;Walking Lunge;1;2;10;;8-9;~2-3 min;DB Step-Up;Goblet Squat;Take medium strides, minimize the amount you push off your rear leg;
;Seated Leg Curl;1;3;10-12;;9-10;~1-2 min;Lying Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to move the weight;
;Leg Press Toe Press;1;4;10-12;;9-10;~1-2 min;Seated Calf Raise;Standing Calf Raise;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Decline Plate-Weighted Crunch;1;3;10-12;;9-10;~1-2 min;Cable Crunch;Machine Crunch;Hold a plate or DB to your chest and crunch hard!;
Push #2;Close-Grip Barbell Incline Press;2-3;3;8, 5, 12;;8-9;~3-4 min;Close-Grip DB Incline Press;Close-Grip Machine Press;Use ~45° incline and a grip width just outside shoulder width;
;Machine Shoulder Press;2;3;10-12;;8-9;~2-3 min;Seated DB Shoulder Press;Standing DB Arnold Press;Don't stop in between reps, keep smooth and controlled tension on the delts;
;Floor Skull Crusher (Heavy);1;3;6-8;;8-9;~1-2 min;DB Floor Skull Crusher;Overhead Cable Triceps Extension;Arc the bar behind your head, allow the bar to come to a dead stop on the floor between reps;
;Bent-Over Cable Pec Flye;1;3;10-12;;9-10;~1-2 min;Pec Deck;DB Flye;Squeeze your pecs together at the top and feel a big stretch at the bottom;
;Eccentric-Accentuated Cable Lateral Raise, Constant-Tension Cable Lateral Raise;1;3;5, 15;;9-10;~1-2 min;DB Lateral Raise;Machine Lateral Raise;First 5 reps: 5-second lowering phase, last 15 reps constant tension (no pausing at the bottom or top);
;Plate Front Raise;1;2;15-20;;9-10;~1-2 min;DB Front Raise;Cable Front Raise;Turn one side up like a steering wheel as you lift the plate;
;Diamond Push Up;0;1;AMRAP;;10;0 min;Close-Grip Push Up;Kneeling Modified Push Up;Place your hands close together on the ground so that they form a diamond shape and do as many pushups as possible with a smooth tempo ;
Pull #2;1-Arm Half-Kneeling Lat Pulldown;1;3;12-15;;8-9;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Pull-Up (1 AMRAP set);2;1;AMRAP;;10;~2-3 min;"Lat Pulldown
(8-15 rep AMRAP)";Machine Pulldown;1.5x shoulder width grip, pull your chest to the bar;
;Kroc Row;2;3;10-12;;8-9;~2-3 min;Single-Arm DB Row;Meadows Row;Kroc rows are basically just a dumbbell row with mild cheating and a slightly more upright posture. Don't be afraid to go heavy and use straps if your grip is limiting;
;Cable Shrug-In;1;3;10-12;;9-10;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;3;10-12;;9-10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;N1-Style Cross-Body Cable Bicep Curl;1;3;10-12;;9-10;~1-2 min;DB Incline Curl;DB Curl;Curl across your body with your arm out to the side at ~60°;
Legs #2;Deadlift;3-4;1;1;;8-9;~3-5 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Stiff-Leg Deadlift;0;2;8;;8-9;~3-4 min;Barbell RDL;DB RDL;Think about doing a high-hip conventional deadlift with a slight bend in the knees;
;Leg Press;2-3;4;10-12;;8-9;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Glute Ham Raise;1;3;8-10;;9-10;~1-2 min;Nordic Ham Curl;Lying Leg Curl;Keep your hips straight, do Nordic ham curls if no GHR machine;
;Slow-Eccentric Leg Extension;1;3;8-10;;9-10;~1-2 min;DB Step-Up;Goblet Squat;Control the weight with a 3-4 second negative;
;Seated Calf Raise;1;4;15-20;;9-10;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Roman Chair Leg Raise;1;3;10-20;;9-10;~1-2 min;Hanging Leg Raise;Reverse Crunch;Don't swing your legs at the bottom, minimize momentum, tuck your knees towards your chest if lifting your legs straight out is too challenging;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
SEMI-DELOAD WEEK: AVOID FAILURE AND TRAIN LIGHTER THIS WEEK TO PROMOTE RECOVERY AND TO PREPARE FOR THE NEXT 6 WEEKS!;;;;;;;;;;;
Week 6;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Bench Press;3-4;1;3-5;;7;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Larsen Press;0;2;10;;7;~3-4 min;"DB Bench Press 
(No Leg Drive)";"Machine Chest Press 
(No Leg Drive)";Shoulder blades still retracted and depressed. Slight arch in upper back. Zero leg drive.;
;Standing Dumbbell Arnold Press;2;2;8-10;;7;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;A1. Press-Around;1;2;12-15;;8;0 min;DB Flye;Deficit Push Up;Brace with your non-working arm, squeeze your pecs by pressing the cable across your body;
;A2. Pec Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a pec stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Cross-Body Cable Y-Raise (Side Delt);1;2;12-15;;8;~1-2 min;DB Lateral Raise;Machine Lateral Raise;"Think about swinging the cable out and up as if ""drawing a sword"" from your side";
;Squeeze-Only Triceps Pressdown + Stretch-Only Overhead Triceps Extension;1;2;8 + 8;;8;~1-2 min;"Triceps Pressdown
(12-15 reps)";"DB Skull Crusher
(12-15 reps)";"Do the second half of the ROM for pressdowns (""the squeeze"") and the first half of the ROM for overhead extensions (""the stretch"")";
;N1-Style Cross-Body Triceps Extension;0;2;10-12;;8;~1-2 min;Single-Arm Tricep Pressdown;Single-Arm Cable Tricep Kickback;Extend your triceps with your arm more out to the side than a regular pressdown. Feel the stretch as the cable moves across your torso;
Pull #1;Lat Pulldown (Feeder Sets);0;4;10;;See Notes;~2-3 min;Machine Pulldown;Pull-Up;Do 4 feeder sets of 10 reps by gradually building the weight up from set to set. Set 1 is pretty light (RPE 4-5). Set 2 is a little heavier (RPE 6-7). Set 3 is a little heavier again (RPE 7-8). Set 4 is your hard set: try to hit failure at 10 reps on this last set.;
;Lat Pulldown (Failure Set);0;1;10+5;;10;~2-3 min;Machine Pulldown;Pull-Up;After hitting failure at ~10 reps, do a dropset. Strip the weight back ~30-50% and do another 5 reps with nice and controlled technique;
;Omni-Grip Machine Chest-Supported Row;2;3;10-12;;7;~2-3 min;Incline Chest-Supported DB Row;Cable Seated Row;Use 3 different grips for the 3 working sets (ideally going from wider to closer);
;A1. Bottom-Half DB Lat Pullover;1;2;10-12;;8;0 min;Cable Lat Pullover;1-Arm Lat Pull-In;Do DB lat pullovers, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;A2. Lat Static Stretch 30s;0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a lat stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Omni-Direction Face Pull;1;3;12-15;;8;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"1st set: low-to-high
2nd set: mid-range
3rd set: high-to-low";
;EZ-Bar Curl;1;2;6-8;;8;~1-2 min;DB Curl;Cable Curl;Focus on contracting your biceps, minimize torso momentum;
;Bottom-Half Preacher Curl;0;2;10-12;;8;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Legs #1;Squat;3-4;1;1-3;;7;~3-4 min;Hack Squat;DB Bulgarian Split Squat;Sit back and down, keep your upper back tight to the bar;
