Jeff Nippard's Ultimate PPL Program - 6x/Week Spreadsheet;;;;;;;;;;;
Legs #2;Deadlift;3-4;2;4-6;;8-9;~3-5 min;Trap Bar Deadlift;Barbell Hip Thrust;Can pull sumo or conventional, go with whatever variation you are stronger with;
;Dumbbell Walking Lunge;3;2;4-6;;10;~3-4 min;DB Step-Up;Goblet Squat;Do 4-6 reps with each leg (10-12 total strides). Straps may be helpful if your grip becomes limiting.;
;Seated Leg Curl;2;2;4-6;;10;~2-3 min;Lying Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to move the weight;
;Standing Calf Raise;2;2;6-8;;10;~2-3 min;Seated Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Decline Plate-Weighted Crunch;2;2;6-8;;10;~2-3 min;Cable Crunch;Machine Crunch;Hold a plate or DB to your chest and crunch hard!;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
Phase 3 - Supercompensation (High volume, moderate intensity);;;;;;;;;;;
Week 1;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
;;;;;;;;;;;
Push #1;Low Incline DB Press;2;3;20;;9;~2-3 min;Low Incline Machine Press;Low Incline Smith Machine Press;15° bench angle, tuck your elbows on the negative, flare as you press;
;Machine Shoulder Press;2;3;15;;9;~2-3 min;DB Shoulder Press;Standing DB Arnold Press;Don't stop in between reps, keep smooth and controlled tension on the delts;
;Cable Crossover Ladder;1;3;20;;10;~1-2 min;Flat-To-Incline DB Flye;Pec Deck;Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position;
;A1: Lean-In Constant Tension DB Lateral Raise;1;3;15;;10;0 min;Constant-Tension Cable Lateral Raise;Constant-Tension Machine Lateral Raise;Lean into a bench and do lateral raises. Keep tension - don't rest your arm against your side at the bottom.;
;A2: Side Delt Static Stretch (30s);0;3;30s HOLD;;N/A;0 min;N/A;N/A;Hold a side delt stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Overhead Triceps Extension;1;3;20;;10;~1-2 min;DB Floor Skull Crusher;DB French Press;Do both arms at once, resist the negative;
;Med-Ball Close Grip Push Up;0;1;AMRAP;;10;0 min;Close-Grip Push Up;Kneeling Modified Push Up;Place your hands on a medicine ball and do smooth, controlled pushups;
Pull #1;1-Arm Half Kneeling Lat Pulldown;1;2;20;;9;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Omni-Grip Lat Pulldown;1;3;20;;9;~2-3 min;Omni-Grip Pull-Up;Chin-Up;One set wide grip (overhand), 1 set middle grip (overhand), 1 set close grip (underhand);
;Machine Low Row;2;4;20;;9;~2-3 min;Helms Row;Incline Chest-Supported DB Row;Focus on squeezing your shoulder blades together on each rep;
;Cable Shrug-In;1;3;20;;10;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;3;20;;10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;EZ-Bar Curl (Heavy);2;1;4-6;;9;~1-2 min;DB Curl;Cable Curl;"Arc the bar ""out"" not ""up"", focus on squeezing your biceps";
;A1: EZ-Bar Modified Bicep 21's;0;2;21;;10;0 min;DB Curl 21's;Cable Curl 21's;7 reps seated, 7 reps standing full ROM, 7 reps bottom-half curls;
;A2: Bicep Static Stretch (30s);0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a bicep stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
Legs #1;Front Squat;2-3;3;15;;7-8;~2-3 min;High-Bar Box Squat;Goblet Squat;These will be challenging, let's push! Don't go so heavy that you miss reps. Be humble with your weight and focus on keeping your torso upright;
;Dumbbell RDL;1;3;20;;9;~2-3 min;Barbell RDL;45° Hyperextension;Emphasize the stretch in your hamstrings, prevent your lower back from rounding;
;Walking Lunge;1;3;10;;9;~2-3 min;DB Step-Up;Goblet Squat;Take medium strides, minimize the amount you push off your rear leg;
;Slow Seated Leg Curl (3 up, 3 down);1;3;8;;10;~1-2 min;Lying Leg Curl;Nordic Ham Curl;Lift with a slow tempo. The positive should take 3 seconds and the negative should take 3 seconds.;
;Leg Press Toe Press;1;3;20;;10;~1-2 min;Seated Calf Raise;Standing Calf Raise;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;LLPT Plank;0;2;30s;;10;~1-2 min;Ab Wheel Rollout;Plank;Contract your glutes and position your elbows under your eyes to make the plank more difficult;
Push #2;Bench Press (Top Set);3-4;1;2-4;;8-9;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Bench Press (Back Off AMRAP);0;1;AMRAP;~60% of AMRAP set load;10;~3-4 min;DB Bench Press;Machine Chest Press;Use ~60% of the weight you used on your top set and do it for as many reps as possible. You should be in the range of 10-20+ reps on this set! Use a spotter and safety bars!;
;Standing Dumbbell Arnold Press;2;3;15;;9;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;Weighted Dip;1;3;15-20;;10;~2-3 min;Machine Chest Press;DB Bench Press;Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip;
;Machine Lateral Raise (+ Myoreps);1;3;12-15;;10;~1-2 min;DB Lateral Raise (+ Myoreps);Cable Lateral Raise (+ Myoreps);On the last set only, perform myoreps: After reaching failure at 12-15 reps, pause for ~5 seconds and do another 4 reps. Then pause for ~5 seconds again and do another 4 reps. Repeat until you can't complete 4 reps.;
;Triceps Pressdown;1;3;20;;10;~1-2 min;Cable Triceps Kickback;DB Triceps Kickback;Focus on squeezing your triceps to move the weight;
;1-Arm Bottom-Half Overhead Cable Tricep Extensions;0;3;20-30;;10;~1-2 min;DB Bottom-Half Skull Crusher;EZ Bar Bottom-Half Skull Crusher;Do overhead cable tricep extensions, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Pull #2;Pull-Up;2;6;3;;7-8;~15 sec;Lat Pulldown;Machine Pulldown;6 cluster sets: 3 reps, rest 15s, repeat 6x. Keep form smooth and controlled.;
;Wide-Grip Cable Row;2;10;3;;7-8;~15 sec;Wide-Grip Machine Row;Wide-Grip T-Bar Row;10 cluster sets: 3 reps, rest 15s, repeat 10x. Keep form tight.;
;SLOW Barbell Row (3 up, 3 down);1;3;6;;7-8;~2-3 min;SLOW DB Row;SLOW Machine Row;"Use a 3 second positive and a 3 second negative. ""Feel"" your back working, be humble with the weight you use";
;Bayesian Cable Curl;1;3;20;;10;~1-2 min;DB Incline Curl;DB Curl;Keep your elbow behind your torso throughout the range of motion, focus on squeezing your bicep. Sets are per arm;
;Bottom-Half Preacher Curl;0;3;15;;10;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;Rope Facepull;1;3;20;;10;~1-2 min;Reverse Pec Deck;Bent-Over Reverse DB Flye;Pull your elbows up and out, squeeze your shoulder blades together;
Legs #2;Deadlift;3-4;2;8;;9;~3-4 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Leg Press;2-3;2;20;;9;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Leg Extension;1;5;20;;10;~1-2 min;DB Step-Up;Goblet Squat;Focus on squeezing your quads to make the weight move;
;Lying Leg Curl;1;3;20;;10;~1-2 min;Seated Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to make the weight move;
;Seated Calf Raise;1;3;20;;10;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Corpse Crunch;0;2;20;;10;~1-2 min;Plate-Weighted Crunch;Cable Crunch;Clear your upper back off the floor when you crunch, hold for 1-2 seconds and then go back down. Don't yank with your neck.;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
Week 2;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Low Incline DB Press;2;3;20;;9;~2-3 min;Low Incline Machine Press;Low Incline Smith Machine Press;15° bench angle, tuck your elbows on the negative, flare as you press;
;Machine Shoulder Press;2;3;15;;9;~2-3 min;DB Shoulder Press;Standing DB Arnold Press;Don't stop in between reps, keep smooth and controlled tension on the delts;
;Cable Crossover Ladder;1;3;20;;10;~1-2 min;Flat-To-Incline DB Flye;Pec Deck;Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position;
;A1: Lean-In Constant Tension DB Lateral Raise;1;3;15;;10;0 min;Constant-Tension Cable Lateral Raise;Constant-Tension Machine Lateral Raise;Lean into a bench and do lateral raises. Keep tension - don't rest your arm against your side at the bottom.;
;A2: Side Delt Static Stretch (30s);0;3;30s HOLD;;N/A;0 min;N/A;N/A;Hold a side delt stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Overhead Triceps Extension;1;3;20;;10;~1-2 min;DB Floor Skull Crusher;DB French Press;Do both arms at once, resist the negative;
;Med-Ball Close Grip Push Up;0;1;AMRAP;;10;0 min;Close-Grip Push Up;Kneeling Modified Push Up;Place your hands on a medicine ball and do smooth, controlled pushups;
Pull #1;1-Arm Half Kneeling Lat Pulldown;1;2;20;;9;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Omni-Grip Lat Pulldown;1;3;20;;9;~2-3 min;Omni-Grip Pull-Up;Chin-Up;One set wide grip (overhand), 1 set middle grip (overhand), 1 set close grip (underhand);
;Machine Low Row;2;4;20;;9;~2-3 min;Helms Row;Incline Chest-Supported DB Row;Focus on squeezing your shoulder blades together on each rep;
;Cable Shrug-In;1;3;20;;10;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;3;20;;10;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;EZ-Bar Curl (Heavy);2;1;4-6;;9;~1-2 min;DB Curl;Cable Curl;"Arc the bar ""out"" not ""up"", focus on squeezing your biceps";
;A1: EZ-Bar Modified Bicep 21's;0;2;21;;10;0 min;DB Curl 21's;Cable Curl 21's;7 reps seated, 7 reps standing full ROM, 7 reps bottom-half curls;
;A2: Bicep Static Stretch (30s);0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a bicep stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
Legs #1;Front Squat;2-3;3;15;;7-8;~2-3 min;High-Bar Box Squat;Goblet Squat;These will be challenging, let's push! Don't go so heavy that you miss reps. Be humble with your weight and focus on keeping your torso upright;
;Dumbbell RDL;1;3;20;;9;~2-3 min;Barbell RDL;45° Hyperextension;Emphasize the stretch in your hamstrings, prevent your lower back from rounding;
;Walking Lunge;1;3;10;;9;~2-3 min;DB Step-Up;Goblet Squat;Take medium strides, minimize the amount you push off your rear leg;
;Slow Seated Leg Curl (3 up, 3 down);1;3;8;;10;~1-2 min;Lying Leg Curl;Nordic Ham Curl;Lift with a slow tempo. The positive should take 3 seconds and the negative should take 3 seconds.;
;Leg Press Toe Press;1;3;20;;10;~1-2 min;Seated Calf Raise;Standing Calf Raise;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;LLPT Plank;0;2;30s;;10;~1-2 min;Ab Wheel Rollout;Plank;Contract your glutes and position your elbows under your eyes to make the plank more difficult;
Push #2;Bench Press (Top Set);3-4;1;2-4;;8-9;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Bench Press (Back Off AMRAP);0;1;AMRAP;~60% of AMRAP set load;10;~3-4 min;DB Bench Press;Machine Chest Press;Use ~60% of the weight you used on your top set and do it for as many reps as possible. You should be in the range of 10-20+ reps on this set! Use a spotter and safety bars!;
;Standing Dumbbell Arnold Press;2;3;15;;9;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;Weighted Dip;1;3;15-20;;10;~2-3 min;Machine Chest Press;DB Bench Press;Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip;
;Machine Lateral Raise (+ Myoreps);1;3;12-15;;10;~1-2 min;DB Lateral Raise (+ Myoreps);Cable Lateral Raise (+ Myoreps);On the last set only, perform myoreps: After reaching failure at 12-15 reps, pause for ~5 seconds and do another 4 reps. Then pause for ~5 seconds again and do another 4 reps. Repeat until you can't complete 4 reps.;
;Triceps Pressdown;1;3;20;;10;~1-2 min;Cable Triceps Kickback;DB Triceps Kickback;Focus on squeezing your triceps to move the weight;
;1-Arm Bottom-Half Overhead Cable Tricep Extensions;0;3;20-30;;10;~1-2 min;DB Bottom-Half Skull Crusher;EZ Bar Bottom-Half Skull Crusher;Do overhead cable tricep extensions, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Pull #2;Pull-Up;2;6;3;;7-8;~15 sec;Lat Pulldown;Machine Pulldown;6 cluster sets: 3 reps, rest 15s, repeat 6x. Keep form smooth and controlled.;
;Wide-Grip Cable Row;2;10;3;;7-8;~15 sec;Wide-Grip Machine Row;Wide-Grip T-Bar Row;10 cluster sets: 3 reps, rest 15s, repeat 10x. Keep form tight.;
;SLOW Barbell Row (3 up, 3 down);1;3;6;;7-8;~2-3 min;SLOW DB Row;SLOW Machine Row;"Use a 3 second positive and a 3 second negative. ""Feel"" your back working, be humble with the weight you use";
;Bayesian Cable Curl;1;3;20;;10;~1-2 min;DB Incline Curl;DB Curl;Keep your elbow behind your torso throughout the range of motion, focus on squeezing your bicep. Sets are per arm;
;Bottom-Half Preacher Curl;0;3;15;;10;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;Rope Facepull;1;3;20;;10;~1-2 min;Reverse Pec Deck;Bent-Over Reverse DB Flye;Pull your elbows up and out, squeeze your shoulder blades together;
Legs #2;Deadlift;3-4;2;8;;9;~3-4 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Leg Press;2-3;2;20;;9;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Leg Extension;1;5;20;;10;~1-2 min;DB Step-Up;Goblet Squat;Focus on squeezing your quads to make the weight move;
;Lying Leg Curl;1;3;20;;10;~1-2 min;Seated Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to make the weight move;
;Seated Calf Raise;1;3;20;;10;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Corpse Crunch;0;2;20;;10;~1-2 min;Plate-Weighted Crunch;Cable Crunch;Clear your upper back off the floor when you crunch, hold for 1-2 seconds and then go back down. Don't yank with your neck.;
Mandatory Rest Day;;;;;;;;;;;
;;;;;;;;;;;
FULL DELOAD WEEK: AVOID FAILURE AND TRAIN LIGHTER THIS WEEK BEFORE RUNNING BACK THROUGH WEEK 1 OF THE PROGRAM OR ONTO A NEW PROGRAM.;;;;;;;;;;;
Week 3;Exercise;Warm-up Sets;Working Sets;Reps;Load;RPE;Rest;Substitution Option 1;Substitution Option 2;Notes;
Push #1;Low Incline DB Press;2;2;12;;6;~2-3 min;Low Incline Machine Press;Low Incline Smith Machine Press;15° bench angle, tuck your elbows on the negative, flare as you press;
;Machine Shoulder Press;2;2;12;;6;~2-3 min;DB Shoulder Press;Standing DB Arnold Press;Don't stop in between reps, keep smooth and controlled tension on the delts;
;Cable Crossover Ladder;1;2;15;;7;~1-2 min;Flat-To-Incline DB Flye;Pec Deck;Do one set with low cable position, one set with medium-height cable position, and one height with a high cable position;
;A1: Lean-In Constant Tension DB Lateral Raise;1;2;12;;7;0 min;Constant-Tension Cable Lateral Raise;Constant-Tension Machine Lateral Raise;Lean into a bench and do lateral raises. Keep tension - don't rest your arm against your side at the bottom.;
;A2: Side Delt Static Stretch (30s);0;2;30s HOLD;;N/A;0 min;N/A;N/A;Hold a side delt stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
;Overhead Triceps Extension;1;2;15;;7;~1-2 min;DB Floor Skull Crusher;DB French Press;Do both arms at once, resist the negative;
;Med-Ball Close Grip Push Up;0;1;AMRAP;;7;0 min;Close-Grip Push Up;Kneeling Modified Push Up;Place your hands on a medicine ball and do smooth, controlled pushups;
Pull #1;1-Arm Half Kneeling Lat Pulldown;1;2;12;;6;~1-2 min;1-Arm Lat Pull-In;Cable Lat Pullover;Keep chest tall, keep elbow tucked in close to your torso, focus on squeezing your lat to move the weight;
;Omni-Grip Lat Pulldown;1;3;12;;6;~2-3 min;Omni-Grip Pull-Up;Chin-Up;One set wide grip (overhand), 1 set middle grip (overhand), 1 set close grip (underhand);
;Machine Low Row;2;2;12;;6;~2-3 min;Helms Row;Incline Chest-Supported DB Row;Focus on squeezing your shoulder blades together on each rep;
;Cable Shrug-In;1;2;12;;7;~1-2 min;DB Shrug;Plate Shrug;Set up two cable handles low and shrug up and in. Squeeze your upper traps to move the weight.;
;Reverse Pec Deck;1;2;12;;7;~1-2 min;Reverse Cable Flye;Bent-Over Reverse DB Flye;"Swing the weight ""out"", not ""back""";
;EZ-Bar Curl (Heavy);2;1;4-6;;7;~1-2 min;DB Curl;Cable Curl;"Arc the bar ""out"" not ""up"", focus on squeezing your biceps";
;A1: EZ-Bar Modified Bicep 21's;0;1;21;;7;0 min;DB Curl 21's;Cable Curl 21's;7 reps seated, 7 reps standing full ROM, 7 reps bottom-half curls;
;A2: Bicep Static Stretch (30s);0;1;30s HOLD;;N/A;0 min;N/A;N/A;Hold a bicep stretch for 30 seconds. The stretch should be held at about a 7/10 intensity. ;
Legs #1;Front Squat;2-3;2;10;;6;~2-3 min;High-Bar Box Squat;Goblet Squat;Stay light, keep your torso upright;
;Dumbbell RDL;1;2;12;;6;~2-3 min;Barbell RDL;45° Hyperextension;Emphasize the stretch in your hamstrings, prevent your lower back from rounding;
;Walking Lunge;1;2;8;;6;~2-3 min;DB Step-Up;Goblet Squat;Take medium strides, minimize the amount you push off your rear leg;
;Slow Seated Leg Curl (3 up, 3 down);1;2;8;;7;~1-2 min;Lying Leg Curl;Nordic Ham Curl;Lift with a slow tempo. The positive should take 3 seconds and the negative should take 3 seconds.;
;Leg Press Toe Press;1;2;12;;7;~1-2 min;Seated Calf Raise;Standing Calf Raise;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;LLPT Plank;0;1;30s;;7;~1-2 min;Ab Wheel Rollout;Plank;Contract your glutes and position your elbows under your eyes to make the plank more difficult;
Push #2;Bench Press;3-4;1;2-4;;6;~3-4 min;DB Bench Press;Machine Chest Press;Set up a comfortable arch, quick pause on the chest and explode up on each rep;
;Standing Dumbbell Arnold Press;2;2;12;;6;~2-3 min;Seated DB Shoulder Press;Machine Shoulder Press;Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.;
;Weighted Dip;1;2;12;;6;~2-3 min;Machine Chest Press;DB Bench Press;Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip;
;Machine Lateral Raise (+ Myoreps);1;2;12-15;;7;~1-2 min;DB Lateral Raise (+ Myoreps);Cable Lateral Raise (+ Myoreps);On the last set only, perform myoreps: After reaching failure at 12-15 reps, pause for ~5 seconds and do another 4 reps. Then pause for ~5 seconds again and do another 4 reps. Repeat until you can't complete 4 reps.;
;Triceps Pressdown;1;2;15;;7;~1-2 min;Cable Triceps Kickback;DB Triceps Kickback;Focus on squeezing your triceps to move the weight;
;1-Arm Bottom-Half Overhead Cable Tricep Extensions;0;2;15-20;;7;~1-2 min;DB Bottom-Half Skull Crusher;EZ Bar Bottom-Half Skull Crusher;Do overhead cable tricep extensions, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
Pull #2;Pull-Up;2;4;3;;6;~15 sec;Lat Pulldown;Machine Pulldown;4 cluster sets: 3 reps, rest 15s, repeat 4x. Keep form smooth and controlled.;
;Wide-Grip Cable Row;2;6;3;;6;~15 sec;Wide-Grip Machine Row;Wide-Grip T-Bar Row;6 cluster sets: 3 reps, rest 15s, repeat 6x. Keep form tight.;
;SLOW Barbell Row (3 up, 3 down);1;2;6;;6;~2-3 min;SLOW DB Row;SLOW Machine Row;"Use a 3 second positive and a 3 second negative. ""Feel"" your back working, be humble with the weight you use";
;Bayesian Cable Curl;1;2;12;;7;~1-2 min;DB Incline Curl;DB Curl;Keep your elbow behind your torso throughout the range of motion, focus on squeezing your bicep. Sets are per arm;
;Bottom-Half Preacher Curl;0;2;15;;7;~1-2 min;Bottom-Half Spider Curl;Bottom-Half Bayesian Curl;Do preacher curls, but cut out the top half of the ROM (stay entirely in the stretched aspect of the lift);
;Rope Facepull;1;2;15;;7;~1-2 min;Reverse Pec Deck;Bent-Over Reverse DB Flye;Pull your elbows up and out, squeeze your shoulder blades together;
Legs #2;Deadlift;3-4;1;8;;6;~3-4 min;Trap Bar Deadlift;Barbell Hip Thrust;Brace your lats, chest tall, pull the slack out of the bar before lifting;
;Leg Press;2-3;1;12;;6;~2-3 min;Goblet Squat;Walking Lunge;Medium width feet placement on the platform, don't allow your lower back to round;
;Leg Extension;1;2;15;;7;~1-2 min;DB Step-Up;Goblet Squat;Focus on squeezing your quads to make the weight move;
;Lying Leg Curl;1;2;15;;7;~1-2 min;Seated Leg Curl;Nordic Ham Curl;Focus on squeezing your hamstrings to make the weight move;
;Seated Calf Raise;1;2;15;;7;~1-2 min;Standing Calf Raise;Leg Press Toe Press;Press all the way up to your toes, stretch your calves at the bottom, don't bounce;
;Corpse Crunch;0;1;15;;7;~1-2 min;Plate-Weighted Crunch;Cable Crunch;Clear your upper back off the floor when you crunch, hold for 1-2 seconds and then go back down. Don't yank with your neck.;
